L1,L2,L3,RAM
51,51,75,306
48,45,69,306
51,48,69,732
45,45,69,294
45,48,72,1215
48,54,69,291
45,45,72,1224
51,54,69,294
45,45,72,1215
54,51,69,291
45,51,63,1212
45,48,69,294
45,45,69,501
48,45,69,300
51,45,72,309
45,51,75,303
51,45,72,294
48,45,69,1107
45,51,69,303
45,45,72,291
45,54,72,255
54,45,72,255
45,45,69,294
51,51,69,960
45,90,72,255
48,51,72,303
45,45,69,531
45,48,69,291
51,54,69,762
48,48,81,294
51,45,72,303
45,45,72,294
45,45,72,1002
54,48,69,255
45,51,72,291
51,45,69,306
45,54,72,303
54,48,69,510
45,54,72,309
45,45,72,291
51,51,72,306
48,48,63,294
51,54,69,819
45,45,69,309
45,51,75,264
48,45,69,300
45,45,69,300
51,45,72,300
45,45,69,309
54,45,72,306
45,51,69,303
45,51,69,300
45,45,69,303
48,45,69,306
51,51,72,309
45,45,69,303
51,45,69,330
48,51,69,306
45,45,75,300
45,51,72,300
45,45,69,309
54,54,72,306
45,45,72,300
51,45,69,864
45,45,69,294
48,45,69,1224
45,51,69,294
45,48,69,1215
51,45,69,297
48,45,72,1221
51,45,69,294
45,48,69,309
45,45,69,300
54,54,75,294
45,45,69,876
51,51,69,294
45,54,72,1209
54,54,69,294
45,45,69,1218
45,45,63,297
51,45,72,1218
48,51,69,291
51,45,72,1188
45,54,69,294
45,48,69,1218
48,45,69,294
45,45,69,1224
51,51,69,294
45,45,75,1215
54,48,69,1077
45,45,69,294
45,48,69,1248
45,45,69,291
48,45,69,1233
51,45,69,294
45,45,69,1248
51,51,72,294
48,54,69,1212
45,45,72,294
45,51,69,1239
45,45,69,291
54,51,72,1221
45,45,81,294
51,51,63,1218
45,54,69,297
48,48,72,1209
45,54,63,294
45,45,69,300
51,51,72,303
48,45,69,303
51,51,69,645
45,45,69,294
45,51,69,1248
54,45,72,294
45,45,72,1224
51,51,72,294
45,45,72,1248
54,45,75,294
45,48,69,1233
45,45,72,294
51,45,69,1218
48,45,63,294
51,45,69,1209
45,51,69,294
45,45,72,1218
48,45,72,303
45,45,69,369
51,45,69,294
45,54,72,1218
54,45,69,294
45,51,72,1215
45,48,69,294
45,45,78,1215
48,51,69,291
51,45,69,1224
45,45,63,294
51,45,69,1215
48,51,69,291
45,48,69,1212
45,54,72,294
45,45,72,1212
54,45,72,294
45,45,69,1221
51,45,72,294
45,45,69,300
48,45,72,306
45,51,78,309
45,45,75,480
51,45,69,294
48,48,69,1245
51,51,69,294
45,45,69,1251
45,48,63,294
54,48,69,1227
45,45,72,294
51,45,63,1233
45,51,69,294
54,51,69,1215
45,45,69,297
45,51,63,1221
51,48,72,294
48,48,78,429
51,51,69,294
45,45,69,1239
45,51,72,291
48,48,69,1230
45,51,69,294
51,45,69,1239
45,51,69,294
54,45,69,1230
45,48,69,291
45,51,69,1236
45,45,69,294
48,51,72,309
51,45,69,798
45,54,69,306
51,45,75,306
48,45,72,333
45,51,69,294
45,48,72,303
45,45,63,312
54,51,72,285
45,45,72,300
51,51,69,285
45,45,72,300
48,45,69,300
45,45,63,300
45,45,69,279
51,51,72,306
48,45,69,315
51,48,78,300
