Iteration,SetIndex,LineIndex,Cycles
0,87,0,252
0,87,1,276
0,87,2,273
0,87,3,288
0,87,4,528
0,87,5,312
0,87,6,471
0,87,7,468
0,88,0,522
0,88,1,285
0,88,2,612
0,88,3,270
0,88,4,267
0,88,5,312
0,88,6,288
0,88,7,297
0,89,0,270
0,89,1,324
0,89,2,276
0,89,3,267
0,89,4,1092
0,89,5,270
0,89,6,297
0,89,7,264
0,90,0,264
0,90,1,273
0,90,2,261
0,90,3,300
0,90,4,300
0,90,5,240
0,90,6,357
0,90,7,267
0,91,0,273
0,91,1,231
0,91,2,225
0,91,3,201
0,91,4,204
0,91,5,270
0,91,6,327
0,91,7,300
0,92,0,300
0,92,1,264
0,92,2,294
0,92,3,225
0,92,4,201
0,92,5,228
0,92,6,225
0,92,7,300
0,93,0,261
0,93,1,231
0,93,2,273
0,93,3,201
0,93,4,264
0,93,5,282
0,93,6,264
0,93,7,300
0,94,0,303
0,94,1,306
0,94,2,297
0,94,3,306
0,94,4,309
0,94,5,933
0,94,6,309
0,94,7,1281
0,95,0,261
0,95,1,1140
0,95,2,303
0,95,3,336
0,95,4,327
0,95,5,336
0,95,6,309
0,95,7,330
0,96,0,261
0,96,1,267
0,96,2,237
0,96,3,288
0,96,4,300
0,96,5,264
0,96,6,306
0,96,7,297
0,97,0,264
0,97,1,309
0,97,2,294
0,97,3,222
0,97,4,270
0,97,5,198
0,97,6,204
0,97,7,231
0,98,0,264
0,98,1,303
0,98,2,294
0,98,3,303
0,98,4,261
0,98,5,333
0,98,6,297
0,98,7,306
0,99,0,300
0,99,1,273
0,99,2,330
0,99,3,852
0,99,4,291
0,99,5,954
0,99,6,333
0,99,7,1014
0,100,0,300
0,100,1,303
0,100,2,306
0,100,3,303
0,100,4,816
0,100,5,303
0,100,6,267
0,100,7,258
0,101,0,294
0,101,1,303
0,101,2,300
0,101,3,312
0,101,4,267
0,101,5,330
0,101,6,312
0,101,7,306
0,102,0,264
0,102,1,192
0,102,2,327
0,102,3,288
0,102,4,270
0,102,5,270
0,102,6,225
0,102,7,300
0,103,0,270
0,103,1,267
0,103,2,264
0,103,3,258
0,103,4,237
0,103,5,306
0,103,6,291
0,103,7,225
0,104,0,303
0,104,1,303
0,104,2,294
0,104,3,270
0,104,4,309
0,104,5,297
0,104,6,303
0,104,7,306
0,105,0,309
0,105,1,957
0,105,2,303
0,105,3,303
0,105,4,264
0,105,5,327
0,105,6,306
0,105,7,1272
0,106,0,267
0,106,1,228
0,106,2,273
0,106,3,231
0,106,4,270
0,106,5,270
0,106,6,195
0,106,7,279
0,107,0,267
0,107,1,300
0,107,2,267
0,107,3,294
0,107,4,270
0,107,5,243
0,107,6,198
0,107,7,228
0,108,0,267
0,108,1,231
0,108,2,201
0,108,3,435
0,108,4,273
0,108,5,270
0,108,6,264
0,108,7,300
0,109,0,264
0,109,1,273
0,109,2,243
0,109,3,288
0,109,4,303
0,109,5,318
0,109,6,300
0,109,7,300
0,110,0,303
0,110,1,306
0,110,2,309
0,110,3,300
0,110,4,303
0,110,5,267
0,110,6,297
0,110,7,309
0,111,0,306
0,111,1,294
0,111,2,294
0,111,3,294
0,111,4,300
0,111,5,303
0,111,6,303
0,111,7,300
0,112,0,237
0,112,1,243
0,112,2,201
0,112,3,228
0,112,4,243
0,112,5,306
0,112,6,306
0,112,7,297
0,113,0,264
0,113,1,267
0,113,2,237
0,113,3,285
0,113,4,243
0,113,5,300
0,113,6,297
0,113,7,327
0,114,0,1113
0,114,1,237
0,114,2,1245
0,114,3,330
0,114,4,738
0,114,5,333
0,114,6,294
0,114,7,309
0,115,0,279
0,115,1,393
0,115,2,270
0,115,3,246
0,115,4,312
0,115,5,258
0,115,6,843
0,115,7,267
0,116,0,237
0,116,1,270
0,116,2,306
0,116,3,270
0,116,4,1212
0,116,5,336
0,116,6,264
0,116,7,264
0,117,0,279
0,117,1,246
0,117,2,264
0,117,3,303
0,117,4,309
0,117,5,423
0,117,6,297
0,117,7,234
0,118,0,315
0,118,1,240
0,118,2,261
0,118,3,255
0,118,4,264
0,118,5,231
0,118,6,363
0,118,7,435
0,119,0,270
0,119,1,276
0,119,2,264
0,119,3,288
0,119,4,270
0,119,5,1482
0,119,6,267
0,119,7,1167
0,120,0,306
0,120,1,312
0,120,2,342
0,120,3,288
0,120,4,276
0,120,5,1368
0,120,6,858
0,120,7,327
0,121,0,1170
0,121,1,273
0,121,2,303
0,121,3,378
0,121,4,282
0,121,5,309
0,121,6,270
0,121,7,267
0,122,0,357
0,122,1,363
0,122,2,279
0,122,3,1179
0,122,4,357
0,122,5,291
0,122,6,237
0,122,7,279
0,123,0,366
0,123,1,414
0,123,2,360
0,123,3,267
0,123,4,243
0,123,5,285
0,123,6,297
0,123,7,240
0,124,0,267
0,124,1,342
0,124,2,261
0,124,3,297
0,124,4,267
0,124,5,201
0,124,6,276
0,124,7,252
0,125,0,273
0,125,1,327
0,125,2,300
0,125,3,204
0,125,4,402
0,125,5,267
0,125,6,303
0,125,7,231
0,126,0,969
0,126,1,861
0,126,2,261
0,126,3,1032
0,126,4,303
0,126,5,1047
0,126,6,240
0,126,7,267
0,127,0,237
0,127,1,246
0,127,2,267
0,127,3,264
0,127,4,270
0,127,5,408
0,127,6,264
0,127,7,300
0,128,0,267
0,128,1,300
0,128,2,267
0,128,3,306
0,128,4,288
0,128,5,240
0,128,6,246
0,128,7,297
0,129,0,231
0,129,1,285
0,129,2,267
0,129,3,201
0,129,4,384
0,129,5,270
0,129,6,264
0,129,7,282
0,130,0,237
0,130,1,312
0,130,2,306
0,130,3,339
0,130,4,807
0,130,5,267
0,130,6,264
0,130,7,702
0,131,0,300
0,131,1,291
0,131,2,267
0,131,3,273
0,131,4,300
0,131,5,303
0,131,6,276
0,131,7,294
0,132,0,1182
0,132,1,354
0,132,2,297
0,132,3,369
0,132,4,276
0,132,5,264
0,132,6,669
0,132,7,309
0,133,0,261
0,133,1,282
0,133,2,309
0,133,3,309
0,133,4,315
0,133,5,294
0,133,6,309
0,133,7,261
0,134,0,246
0,134,1,267
0,134,2,270
0,134,3,303
0,134,4,384
0,134,5,309
0,134,6,279
0,134,7,267
0,135,0,240
0,135,1,300
0,135,2,309
0,135,3,342
0,135,4,303
0,135,5,282
0,135,6,198
0,135,7,273
0,136,0,261
0,136,1,267
0,136,2,303
0,136,3,300
0,136,4,297
0,136,5,261
0,136,6,300
0,136,7,306
0,137,0,255
0,137,1,309
0,137,2,291
0,137,3,1038
0,137,4,891
0,137,5,294
0,137,6,321
0,137,7,303
0,138,0,270
0,138,1,267
0,138,2,267
0,138,3,264
0,138,4,240
0,138,5,333
0,138,6,270
0,138,7,285
0,139,0,267
0,139,1,249
0,139,2,270
0,139,3,225
0,139,4,294
0,139,5,276
0,139,6,279
0,139,7,288
0,140,0,237
0,140,1,267
0,140,2,291
0,140,3,270
0,140,4,270
0,140,5,264
0,140,6,303
0,140,7,279
0,141,0,255
0,141,1,258
0,141,2,312
0,141,3,303
0,141,4,318
0,141,5,279
0,141,6,285
0,141,7,288
0,142,0,309
0,142,1,261
0,142,2,258
0,142,3,309
0,142,4,306
0,142,5,291
0,142,6,297
0,142,7,261
0,143,0,300
0,143,1,1131
0,143,2,300
0,143,3,768
0,143,4,774
0,143,5,258
0,143,6,306
0,143,7,255
0,144,0,255
0,144,1,264
0,144,2,300
0,144,3,282
0,144,4,273
0,144,5,207
0,144,6,288
0,144,7,372
0,145,0,255
0,145,1,267
0,145,2,273
0,145,3,258
0,145,4,288
0,145,5,258
0,145,6,267
0,145,7,279
0,146,0,258
0,146,1,300
0,146,2,303
0,146,3,258
0,146,4,240
0,146,5,312
0,146,6,297
0,146,7,306
0,147,0,300
0,147,1,291
0,147,2,294
0,147,3,252
0,147,4,309
0,147,5,312
0,147,6,1089
0,147,7,297
0,148,0,258
0,148,1,297
0,148,2,705
0,148,3,777
0,148,4,255
0,148,5,315
0,148,6,303
0,148,7,258
0,149,0,309
0,149,1,255
0,149,2,309
0,149,3,312
0,149,4,312
0,149,5,303
0,149,6,261
0,149,7,312
0,150,0,324
0,150,1,264
0,150,2,318
0,150,3,210
0,150,4,279
0,150,5,267
0,150,6,258
0,150,7,213
0,151,0,261
0,151,1,273
0,151,2,342
0,151,3,276
0,151,4,261
0,151,5,258
0,151,6,297
0,151,7,261
0,152,0,708
0,152,1,309
0,152,2,258
0,152,3,258
0,152,4,255
0,152,5,264
0,152,6,315
0,152,7,888
0,153,0,255
0,153,1,306
0,153,2,312
0,153,3,258
0,153,4,300
0,153,5,363
0,153,6,303
0,153,7,261
0,154,0,264
0,154,1,273
0,154,2,285
0,154,3,312
0,154,4,1146
0,154,5,270
0,154,6,219
0,154,7,276
0,155,0,447
0,155,1,273
0,155,2,408
0,155,3,264
0,155,4,288
0,155,5,285
0,155,6,351
0,155,7,315
0,156,0,273
0,156,1,294
0,156,2,264
0,156,3,279
0,156,4,351
0,156,5,285
0,156,6,285
0,156,7,1488
0,157,0,273
0,157,1,345
0,157,2,327
0,157,3,276
0,157,4,273
0,157,5,303
0,157,6,315
0,157,7,297
0,158,0,306
0,158,1,831
0,158,2,258
0,158,3,1185
0,158,4,258
0,158,5,267
0,158,6,672
0,158,7,258
0,159,0,282
0,159,1,255
0,159,2,297
